Unnamed: 0,공기청정기_효용_상태,역명,설치대수,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수,오염_등급,오염_점수,공기청정기_군집
141,심각한 부족,거여,14,73.1,548.0,35.5,0.5,7617.0,1,45.031598315740894,0
142,심각한 부족,마천,14,72.3,661.0,37.5,0.4,6909.0,1,44.44269827536482,0
143,부족,응암,22,90.4,531.0,34.0,1.0,22616.0,2,57.718648747380364,1
144,부족,역촌,14,86.9,515.0,36.5,0.7,5441.0,2,52.97689988656246,1
146,심각한 부족,독바위,14,71.0,356.0,35.0,1.0,3853.0,1,43.19264386379805,0
148,과잉,구산,14,80.7,436.0,47.0,0.7,8470.0,1,49.72280133048778,3
149,과잉,새절,16,81.5,456.0,34.0,0.7,15785.0,1,51.327947934090865,3
150,부족,증산,14,86.7,442.0,30.5,0.7,13561.0,2,54.10586645132761,1
151,심각한 부족,디지털미디어시티,22,73.7,500.0,44.7,0.5,23041.0,1,47.76401953432928,0
152,심각한 부족,월드컵경기장,22,67.6,437.0,28.0,0.2,11660.0,0,42.35346676664551,0
153,과잉,마포구청,14,79.4,475.0,43.0,0.6,13881.0,1,49.77508680855973,3
154,심각한 부족,망원,18,68.7,478.0,43.5,0.4,18509.0,0,44.06693622502932,0
156,과잉,상수,14,76.8,504.0,29.0,0.3,20552.0,1,49.24117744323316,3
157,부족,광흥창,18,85.5,477.0,21.0,0.1,10182.0,2,52.86613024167964,1
158,심각한 부족,대흥,14,70.6,463.0,29.0,0.6,7817.0,1,43.56236103901097,0
160,과잉,효창공원앞,16,81.2,441.0,37.0,0.4,9529.0,1,50.18568995020284,3
162,부족,녹사평,16,84.2,442.0,33.7,0.6,13361.0,1,52.57510372805753,1
163,부족,이태원,16,73.7,566.0,44.0,0.6,55608.0,1,52.773267578012344,1
164,과잉,한강진,16,76.1,412.0,42.0,0.9,14808.0,1,47.93767203091653,3
165,심각한 부족,버티고개,18,71.4,390.0,18.0,0.5,2779.0,1,43.26744803983773,0
170,심각한 부족,창신,14,72.0,418.0,71.0,0.6,3545.0,1,43.74526926996212,0
171,심각한 부족,보문,14,70.0,465.0,94.4,0.8,10748.0,1,43.653188748533964,0
172,과잉,안암,16,76.0,520.0,52.5,0.7,12179.0,1,47.47329603353137,3
173,과잉,고려대,16,77.3,424.0,51.0,0.7,9616.0,1,47.85907173482532,3
174,심각한 부족,월곡,14,65.9,443.0,52.5,0.7,14069.0,0,41.7040037684336,0
175,과잉,상월곡,16,81.9,403.0,30.5,0.6,7146.0,1,50.23915210243987,3
176,과잉,돌곶이,16,80.8,400.0,25.5,0.5,9929.0,1,50.00721539674299,3
177,부족,석계,16,82.4,467.0,15.3,0.9,29894.0,1,54.03810424717849,1
178,부족,태릉입구,20,84.7,421.0,26.7,0.8,16121.0,1,53.299629309184596,1
179,부족,화랑대,18,86.5,435.0,27.3,0.7,11187.0,2,53.620712926111786,1
180,심각한 부족,봉화산,18,74.3,404.0,17.5,0.9,9961.0,1,46.112137432466206,0
181,부족,수락산,20,85.3,435.0,48.7,0.7,18399.0,2,54.01001672723078,1
182,부족,마들,14,91.1,452.0,68.0,0.7,12413.0,2,56.569288419757356,1
183,심각한 과잉,노원,14,84.3,495.0,29.0,0.7,66652.0,1,60.83198515698602,4
184,과잉,중계,16,78.7,438.0,31.5,0.9,18007.0,1,49.98972178962143,3
185,과잉,하계,14,80.3,473.0,58.5,0.7,24959.0,1,52.01903405048932,3
186,과잉,공릉,16,79.3,434.0,67.0,0.4,15071.0,1,49.898125012016685,3
188,과잉,먹골,16,78.6,427.0,41.0,0.8,12597.0,1,49.09759012516583,3
189,심각한 부족,중화,14,72.5,450.0,36.0,0.6,13388.0,1,45.559256695698984,0
190,과잉,상봉,14,77.7,441.0,20.5,0.3,32466.0,1,51.613712868431676,3
191,부족,면목,14,91.2,471.0,37.5,0.4,19218.0,2,57.675990079021744,1
