Unnamed: 0,호선,역코드,역명,AIRPRESSURE,CO2,HUMIDITY,PM10,PM2.5,TEMPERATURE,호선명,역번호,설치대수,제조사,모델명,적용면적,처리용량,Purifier_Need
12,5,2535,종로3가,115,98,162,194,254,108,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
12,5,2535,종로3가,115,98,162,194,254,108,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
12,5,2535,종로3가,115,98,162,194,254,108,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed
12,5,2535,종로3가,115,98,162,194,254,108,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
12,5,2535,종로3가,115,98,162,194,254,108,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
12,5,2535,종로3가,115,98,162,194,254,108,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
12,5,2535,종로3가,115,98,162,194,254,108,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
13,5,2535,종로3가,115,98,162,194,254,108,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
13,5,2535,종로3가,115,98,162,194,254,108,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
13,5,2535,종로3가,115,98,162,194,254,108,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
13,5,2535,종로3가,115,98,162,194,254,108,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
13,5,2535,종로3가,115,98,162,194,254,108,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Additional Purifiers Needed
13,5,2535,종로3가,115,98,162,194,254,108,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
13,5,2535,종로3가,115,98,162,194,254,108,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
13,5,2535,종로3가,115,98,162,194,254,108,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
13,5,2535,종로3가,115,98,162,194,254,108,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
14,1,154,종로5가,5,185,11,256,246,272,1호선,154,18,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
15,1,155,동대문,64,120,62,277,276,263,1호선,155,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
15,1,155,동대문,64,120,62,277,276,263,1호선,155,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
15,1,155,동대문,64,120,62,277,276,263,1호선,155,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
15,1,155,동대문,64,120,62,277,276,263,1호선,155,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
16,1,155,동대문,64,120,62,277,276,263,4호선,421,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
16,1,155,동대문,64,120,62,277,276,263,4호선,421,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
16,1,155,동대문,64,120,62,277,276,263,4호선,421,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
16,1,155,동대문,64,120,62,277,276,263,4호선,421,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
17,4,421,동대문,202,273,102,263,205,209,1호선,155,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
17,4,421,동대문,202,273,102,263,205,209,1호선,155,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
17,4,421,동대문,202,273,102,263,205,209,1호선,155,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
17,4,421,동대문,202,273,102,263,205,209,1호선,155,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
18,4,421,동대문,202,273,102,263,205,209,4호선,421,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
18,4,421,동대문,202,273,102,263,205,209,4호선,421,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
18,4,421,동대문,202,273,102,263,205,209,4호선,421,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
18,4,421,동대문,202,273,102,263,205,209,4호선,421,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
19,1,156,신설동,15,264,4,233,218,247,1호선,156,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
19,1,156,신설동,15,264,4,233,218,247,1호선,156,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal
