고유역번호(외부역코드),역명,위도,경도,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
2553,고덕,37.555002,127.154214,39.1,19.2,484.0,6.8,0.5,11714.0
2554,상일동,37.556714,127.166381,50.1,23.5,533.0,6.1,0.5,16508.0
2555,둔촌동,37.527787,127.136219,34.0,23.3,523.0,7.9,0.7,11359.0
2556,올림픽공원,37.516217,127.130957,34.1,23.6,496.0,8.8,0.6,32680.0
2557,방이,37.508752,127.126054,31.7,16.4,482.0,6.6,0.5,9734.0
2558,오금,37.502228,127.127701,28.9,17.4,463.0,6.8,0.5,9893.0
2559,개롱,37.498097,127.134817,29.9,20.0,474.0,5.7,0.3,7770.0
2560,거여,37.493208,127.143983,30.6,19.4,486.0,7.5,0.3,11289.0
2561,마천,37.494972,127.152784,35.7,21.2,489.0,2.9,0.5,8834.0
2562,강일,37.557521,127.176018,40.5,22.3,453.0,6.2,0.4,6162.0
2563,미사,37.56329,127.192954,51.6,30.9,469.0,7.3,0.5,23767.0
2564,하남풍산,37.552201,127.203897,41.6,22.9,456.0,9.2,0.5,6012.0
2565,하남시청,37.541723,127.206901,35.3,21.3,481.0,5.4,0.6,10767.0
2566,하남검단산,37.539729,127.223427,26.5,16.4,463.0,6.4,0.4,10523.0
2611,응암,37.59859,126.915583,50.4,29.9,514.0,10.9,0.4,23915.0
2612,역촌,37.60605,126.922764,56.0,37.7,494.0,14.9,0.6,5456.0
2613,불광,37.610919,126.929504,38.8,26.9,558.0,16.5,1.0,31940.0
2614,독바위,37.618413,126.933035,25.5,17.3,447.0,8.7,0.5,3725.0
2616,연신내,37.618596,126.920519,38.3,24.9,534.0,9.0,0.4,52576.0
2617,구산,37.611223,126.917246,31.6,19.6,479.0,8.3,0.5,9154.0
2618,새절,37.591148,126.913613,31.3,19.4,481.0,6.5,0.3,15470.0
2619,증산,37.583989,126.909785,32.6,15.7,478.0,6.1,0.3,13549.0
2620,디지털미디어시티,37.577005,126.898643,34.8,16.1,500.0,3.8,0.4,26386.0
2621,월드컵경기장,37.569439,126.899077,27.7,15.9,454.0,6.3,0.3,8436.0
2622,마포구청,37.563535,126.903326,42.7,25.2,533.0,3.4,0.5,16033.0
