역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
장승배기,36.7,601,8.7,0.6,14553.0
신대방삼거리,43.1,556,7.5,0.8,24275.0
보라매,47.7,595,9.1,0.6,13260.0
신풍,53.3,551,11.4,0.7,16744.0
대림,55.5,545,9.1,0.6,51106.0
남구로,56.9,546,10.9,0.6,24701.0
가산디지털단지,52.3,610,8.5,0.9,88574.0
철산,74.1,522,16.2,0.9,31546.0
광명사거리,47.2,583,8.8,0.6,35610.0
천왕,42.8,579,12.0,0.5,15508.0
온수,53.8,582,7.5,0.5,24186.0
암사,44.5,606,11.0,0.6,26616.0
천호,39.7,601,9.6,0.9,53314.0
강동구청,38.9,653,14.3,0.7,15665.0
몽촌토성,45.3,588,10.1,0.6,7831.0
잠실,32.3,608,10.7,0.7,114057.0
석촌,47.9,581,9.4,0.9,21820.0
송파,41.9,598,10.6,1.0,11665.0
가락시장,54.2,602,9.6,0.9,25630.0
문정,42.5,599,10.1,0.8,28163.0
장지,43.9,640,7.2,1.0,24471.0
복정,61.8,601,9.6,0.8,13183.0
산성,34.8,557,9.6,0.9,9838.0
남한산성입구,45.8,632,11.6,0.9,18690.0
단대오거리,41.2,614,11.0,1.1,15091.0
신흥,45.2,598,21.6,1.1,7608.0
수진,40.2,606,12.3,1.0,7715.0
모란,51.1,614,8.2,1.2,34774.0
