역명,공기청정기_효용_상태,오염_청정기_비율,오염_점수,오염_등급,미세먼지,설치대수,총 승객수
불광,부족,4.270223936145376,59.78313510603526,2,90.4,14,36038.0
녹번,부족,4.101316534689091,57.41843148564727,2,89.4,14,24565.0
홍제,부족,4.392352634195514,61.49293687873719,2,92.9,14,37402.0
무악재,부족,4.18375816104835,58.5726142546769,2,96.4,14,4763.0
독립문,부족,4.1919415398391005,58.6871815577474,2,95.0,14,10969.0
경복궁,적합,3.1417003881657513,56.550606986983524,2,85.7,18,33356.0
안국,적합,3.4245031820191882,54.79205091230701,1,79.6,16,45718.0
충무로,과잉,2.5925500695365726,62.22120166887774,2,96.2,24,29264.0
동대입구,부족,4.038023137962574,56.53232393147603,2,89.5,14,18414.0
약수,적합,3.710237916704433,51.94333083386206,1,81.3,14,20566.0
금호,적합,3.2972464066667215,46.1614496933341,1,72.6,14,16913.0
압구정,적합,3.202971212133697,44.84159696987176,0,65.5,14,36028.0
신사,부족,4.252203929388563,59.53085501143988,1,80.5,14,73016.0
잠원,과잉,2.9581145471974333,41.41360366076407,0,65.9,14,12181.0
고속터미널,과잉,2.9734918574916844,71.36380457980043,1,77.4,24,162039.0
남부터미널,적합,3.709708275996561,51.935915863951855,1,76.2,14,40412.0
양재,부족,4.196750604954446,58.75450846936225,1,78.9,14,74210.0
매봉,적합,3.437294803022438,54.99671684835901,2,86.4,16,20523.0
도곡,적합,3.106798037478086,68.34955682451789,3,108.0,22,23077.0
대치,적합,3.277007027359597,52.43211243775355,1,81.0,16,24914.0
학여울,과잉,2.5315524066490207,45.56794331968237,1,75.5,18,1742.0
대청,적합,3.0929044096441136,49.48647055430582,1,77.7,16,18636.0
일원,적합,3.5712885735709756,57.14061717713561,2,90.4,16,18858.0
수서,적합,3.3148284444102636,59.666911999384745,1,83.6,18,61808.0
가락시장,과잉,2.2231861092321377,48.91009440310703,1,76.2,22,20740.0
경찰병원,적합,3.1504663917248275,50.40746226759724,1,82.2,16,7070.0
오금,적합,3.6259104530085664,50.76274634211993,1,82.0,14,10160.0
쌍문,부족,4.341149894115804,60.776098517621264,2,85.1,14,63168.0
수유,적합,3.6976707090807714,59.16273134529234,1,77.7,16,81545.0
미아,적합,3.9491185106447264,55.28765914902617,1,83.4,14,34117.0
미아사거리,적합,3.779625944511738,60.47401511218781,2,90.0,16,42090.0
길음,적합,3.937472842283363,55.124619791967085,1,81.0,14,42419.0
성신여대입구,적합,3.8582589019630458,61.73214243140873,2,93.1,16,38177.0
한성대입구,부족,4.614042029570667,64.59658841398934,3,102.6,14,19742.0
혜화,부족,4.777992128038848,66.89188979254388,2,88.8,14,88496.0
명동,부족,4.016519667848041,72.29735402126474,2,94.8,18,100234.0
회현,적합,3.9118047624540964,62.58887619926554,2,89.4,16,58180.0
숙대입구,적합,3.988393663977675,55.83751129568745,2,88.0,14,19748.0
삼각지,적합,3.6285855395973927,58.05736863355828,2,93.0,16,14676.0
신용산,부족,4.092114113223301,57.28959758512622,2,91.1,14,17096.0
이촌,적합,3.948719254443428,55.282069562207994,1,84.2,14,30960.0
총신대입구,적합,3.9414324373690177,63.06291899790428,2,97.8,16,28495.0
남태령,적합,3.988204638029867,55.834864932418135,2,92.6,14,1787.0
방화,과잉,2.7738666099478957,44.38186575916633,1,71.7,16,8854.0
개화산,과잉,2.946676389884557,41.2534694583838,0,67.0,14,6849.0
김포공항,과잉,2.6873689326403176,48.37264078752572,0,68.7,18,46502.0
송정,적합,3.0954103115549736,43.33574436176963,0,69.0,14,12585.0
마곡,적합,3.578184285192418,50.09457999269385,1,82.0,14,5816.0
발산,적합,3.7939941550825784,60.703906481321255,2,96.8,16,17059.0
우장산,적합,3.7806971327493915,52.92975985849148,1,83.9,14,16837.0
화곡,적합,3.488732465934404,48.84225452308166,1,72.5,14,34732.0
까치산,심각한 과잉,1.3747744570516678,38.4936847974467,0,54.4,28,38057.0
신정,적합,3.5564052659190226,49.78967372286632,1,79.2,14,14756.0
목동,과잉,2.998174836641699,41.97444771298379,0,65.0,14,19338.0
오목교,과잉,2.593215003663755,46.67787006594759,0,69.5,18,32363.0
