연번,호선,역명,미세먼지,초미세먼지,이산화탄소,포름알데히드,일산화탄소,이산화질소,휘발성유기화합물,라돈
160,6,증산,52.1,34.2,474.5,3.8,0.9,0.018,49.8,43.0
161,6,디지털미디어시티,78.2,40.9,486.7,6.5,0.9,0.018,75.9,37.9
162,6,월드컵경기장,57.0,40.7,501.0,4.8,1.0,0.016,44.3,53.2
163,6,마포구청,75.1,44.9,481.0,4.8,1.0,0.019,32.3,16.4
164,6,망원,57.5,47.4,485.5,4.4,1.1,0.019,32.2,23.4
165,6,합정,36.1,33.4,487.0,5.9,0.9,0.018,382.4,41.1
166,6,상수,30.0,24.3,487.5,5.4,0.9,0.018,58.0,46.6
167,6,광흥창,32.8,25.5,466.5,5.0,1.0,0.017,35.2,22.5
168,6,대흥,36.0,25.0,499.0,5.0,1.1,0.018,105.1,22.6
169,6,공덕,44.0,28.8,481.7,3.5,0.8,0.018,38.3,31.2
170,6,효창공원앞,44.4,35.2,461.0,4.2,0.8,0.018,38.3,18.1
171,6,삼각지,58.4,28.1,503.7,5.7,0.9,0.018,77.6,47.5
172,6,녹사평,37.0,24.5,472.7,5.6,0.9,0.018,85.1,31.9
173,6,이태원,45.5,35.2,452.0,5.0,0.9,0.018,104.0,21.9
174,6,한강진,47.4,24.3,453.0,5.3,0.9,0.017,132.0,16.7
175,6,버티고개,44.7,31.7,465.0,6.2,0.9,0.019,352.1,28.3
176,6,약수,65.6,34.8,485.0,6.8,0.9,0.018,206.9,17.4
177,6,청구,50.7,36.3,493.0,9.0,0.9,0.019,95.8,25.5
178,6,신당,47.3,28.6,552.7,9.5,0.8,0.018,178.7,33.8
179,6,동묘앞,51.6,29.5,550.7,8.3,0.9,0.018,93.8,34.9
180,6,창신,45.1,28.2,532.0,9.7,0.9,0.019,296.7,44.6
181,6,보문,51.0,31.7,531.0,11.0,0.9,0.019,114.0,56.2
182,6,안암,32.0,20.3,531.0,7.3,0.9,0.017,125.1,27.6
183,6,고려대,31.2,21.7,489.5,5.5,0.9,0.018,140.6,57.6
184,6,월곡,65.8,32.8,467.0,4.6,0.9,0.018,173.6,83.7
185,6,상월곡,45.6,22.0,468.5,6.4,0.9,0.019,183.7,28.5
186,6,돌곶이,45.2,24.0,499.0,7.3,1.0,0.018,49.7,25.3
187,6,석계,47.7,23.9,492.7,7.0,1.0,0.018,120.6,28.3
188,6,태릉입구,64.6,28.8,485.3,4.9,1.0,0.019,133.9,25.7
189,6,화랑대,38.3,25.9,473.3,5.7,1.0,0.02,135.9,27.5
190,6,봉화산,36.5,21.8,457.0,4.7,1.0,0.017,56.3,22.1
191,7,수락산,61.2,24.0,464.0,8.2,1.1,0.019,65.4,41.9
192,7,마들,35.0,17.6,467.0,8.3,0.9,0.018,125.3,44.7
193,7,노원,35.1,27.0,488.7,9.1,1.0,0.019,74.5,85.7
194,7,중계,30.3,22.8,423.0,8.1,0.9,0.019,132.2,88.7
195,7,하계,30.4,23.2,445.5,5.1,0.9,0.018,84.4,57.0
196,7,공릉,35.7,26.0,487.5,5.8,0.9,0.019,65.0,104.7
197,7,태릉입구,38.2,21.4,462.7,5.8,0.9,0.019,57.9,32.1
198,7,먹골,36.3,18.7,460.5,8.8,0.9,0.019,84.2,44.8
199,7,중화,23.8,15.7,439.5,7.5,0.9,0.019,64.0,30.0
200,7,상봉,41.5,27.7,548.5,9.4,1.0,0.019,75.9,38.8
201,7,면목,45.0,22.9,451.0,8.4,0.9,0.019,72.5,27.9
202,7,사가정,44.2,30.1,450.5,8.7,0.9,0.019,47.3,35.3
203,7,용마산,31.8,24.5,466.5,7.9,0.9,0.019,51.5,42.7
204,7,중곡,40.8,26.5,449.0,6.6,0.9,0.019,129.1,31.2
205,7,군자,47.5,29.5,457.5,6.9,0.9,0.019,72.4,33.5
206,7,어린이대공원,32.3,27.3,467.0,9.5,1.0,0.02,159.7,28.6
207,7,건대입구,36.7,24.3,487.3,10.6,1.0,0.02,84.4,16.0
208,7,청담,34.2,24.1,505.5,7.5,0.8,0.018,207.2,33.3
209,7,강남구청,31.6,24.4,440.3,6.5,0.9,0.018,75.8,25.4
210,7,학동,31.2,20.7,442.5,8.7,0.9,0.019,74.9,19.5
211,7,논현,35.2,25.3,489.0,9.9,1.2,0.018,120.0,22.7
212,7,반포,58.3,27.6,500.7,10.6,0.9,0.019,74.1,17.4
213,7,고속터미널,63.2,36.8,593.3,15.0,1.1,0.019,87.6,37.0
214,7,내방,37.4,22.4,495.5,8.4,1.1,0.018,36.7,30.4
216,7,남성,39.9,28.0,449.0,8.1,1.7,0.018,72.6,25.9
217,7,숭실대입구,40.3,18.3,477.5,8.5,0.8,0.019,88.5,40.1
218,7,상도,45.7,26.0,452.0,9.5,0.8,0.018,132.7,24.4
219,7,장승배기,42.3,28.8,445.5,7.8,0.9,0.018,96.5,18.5
220,7,신대방삼거리,46.7,30.3,481.5,9.0,1.8,0.02,95.6,48.8
221,7,보라매,35.0,23.8,468.0,7.3,0.9,0.02,74.4,14.0
222,7,신풍,48.6,34.4,526.0,14.4,0.9,0.019,85.9,19.1
223,7,대림,39.9,33.8,549.5,12.9,0.8,0.019,140.3,14.2
224,7,남구로,53.2,42.4,538.0,16.8,0.8,0.017,117.7,32.6
225,7,가산디지털단지,54.0,44.3,552.0,14.6,0.8,0.017,107.6,28.3
226,7,철산,63.7,32.9,489.5,7.9,0.9,0.018,120.3,21.1
227,7,광명사거리,52.0,25.3,441.0,6.2,0.9,0.018,202.1,13.0
228,7,천왕,54.1,41.6,466.0,6.8,0.8,0.017,64.0,32.0
229,7,온수,55.6,37.6,450.7,6.4,0.8,0.017,157.0,27.0
239,8,암사,26.3,19.0,451.0,13.4,1.0,0.019,79.9,16.7
240,8,천호,34.0,27.9,505.5,11.2,1.1,0.019,204.5,26.1
241,8,강동구청,31.3,22.7,448.0,13.0,1.0,0.019,218.8,29.7
242,8,몽촌토성,35.3,24.7,527.0,7.0,0.9,0.019,208.0,24.3
243,8,잠실,24.8,18.8,634.7,10.0,1.0,0.018,191.3,18.0
244,8,석촌,31.5,22.1,478.0,9.6,1.0,0.019,90.3,42.7
245,8,송파,32.6,23.7,441.0,5.7,1.0,0.019,126.7,32.8
246,8,가락시장,29.1,21.7,449.0,6.8,1.0,0.019,359.6,24.9
247,8,문정,30.1,19.6,480.5,7.0,1.1,0.019,292.3,23.7
248,8,장지,29.8,22.1,462.0,7.0,1.0,0.018,81.9,26.1
249,8,복정,29.1,22.2,447.5,6.0,0.9,0.019,85.7,30.6
250,8,산성,36.0,27.6,436.5,10.5,0.8,0.018,114.9,31.1
251,8,남한산성입구,36.4,26.6,521.5,11.7,1.2,0.02,116.7,40.4
252,8,단대오거리,31.4,20.1,444.0,6.9,1.0,0.019,117.4,20.9
253,8,신흥,39.2,19.9,458.0,14.8,1.1,0.019,63.5,27.2
254,8,수진,36.8,22.3,459.5,19.7,1.0,0.019,186.6,23.6
255,8,모란,39.8,29.8,473.0,10.6,0.9,0.019,89.2,27.2
