index,역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수,연도
190.0,광명사거리,92.9,503.0,20.0,1.4,36911.0,7123
191.0,천왕,78.8,413.0,16.3,0.5,9573.0,7123
192.0,온수,72.2,400.0,29.7,0.2,19067.0,7123
193.0,암사,82.9,457.0,16.0,1.2,21298.0,7123
194.0,천호,72.8,442.0,31.5,0.8,62708.0,7123
195.0,강동구청,77.7,489.0,12.0,1.2,12153.0,7123
196.0,몽촌토성,85.5,749.0,19.0,0.9,12483.0,7123
197.0,잠실,76.9,666.0,23.3,0.9,260055.0,7123
198.0,석촌,92.0,702.0,23.5,1.0,15512.0,7123
199.0,송파,84.1,445.0,20.0,0.7,6184.0,7123
200.0,가락시장,78.7,452.0,25.0,1.0,20740.0,7123
201.0,문정,84.6,520.0,24.0,1.1,8729.0,7123
202.0,장지,82.8,588.0,22.0,1.1,27210.0,7123
203.0,복정,85.3,546.0,23.0,0.9,13443.0,7123
204.0,산성,77.5,391.0,25.0,0.7,7713.0,7123
205.0,남한산성입구,75.1,530.0,23.0,0.9,15118.0,7123
206.0,단대오거리,69.8,450.0,21.0,0.8,13931.0,7123
207.0,신흥,82.1,514.0,23.0,0.6,7802.0,7123
208.0,수진,75.8,512.0,30.5,1.0,8433.0,7123
209.0,모란,77.2,482.0,11.0,0.7,35348.0,7123
0.0,서울,82.6,522.0,6.5,0.9,194273.0,8123
1.0,시청,96.3,691.0,5.5,0.9,113670.0,8123
2.0,종각,93.0,515.0,6.9,1.0,124961.0,8123
3.0,동대문,89.2,565.0,9.3,1.1,77584.0,8123
4.0,동묘앞,77.5,560.0,10.1,1.2,38380.0,8123
5.0,신설동,92.0,574.0,7.9,1.0,45600.0,8123
6.0,제기동,98.0,528.0,9.7,0.9,43699.0,8123
7.0,청량리,84.9,518.0,11.4,1.4,96804.0,8123
8.0,시청,85.9,697.0,9.7,1.0,113670.0,8123
9.0,을지로입구,84.1,617.0,9.2,1.1,121523.0,8123
10.0,동대문역사문화공원,77.6,525.0,8.7,1.4,94342.0,8123
11.0,신당,84.0,581.0,7.1,1.6,46185.0,8123
12.0,상왕십리,99.6,501.0,9.9,1.7,28121.0,8123
13.0,왕십리,66.1,536.0,12.2,1.2,86156.0,8123
14.0,잠실,79.3,707.0,16.4,1.2,238075.0,8123
15.0,잠실새내,84.4,512.0,12.4,1.3,54556.0,8123
16.0,종합운동장,77.3,462.0,4.9,0.9,24902.0,8123
17.0,삼성,74.3,600.0,7.3,1.2,159643.0,8123
18.0,선릉,87.1,729.0,8.5,1.2,124246.0,8123
19.0,역삼,87.8,589.0,8.7,1.5,88327.0,8123
20.0,강남,86.7,783.0,17.2,1.5,203667.0,8123
21.0,교대,93.8,660.0,10.0,1.6,89374.0,8123
22.0,서초,87.2,510.0,7.3,1.0,47451.0,8123
23.0,방배,78.7,508.0,8.4,1.3,33629.0,8123
24.0,사당,92.0,588.0,8.0,1.1,132652.0,8123
25.0,낙성대,85.6,532.0,10.9,1.0,56860.0,8123
26.0,서울대입구,72.6,478.0,9.5,0.9,105795.0,8123
27.0,봉천,85.0,489.0,10.0,1.0,47595.0,8123
28.0,신림,86.0,537.0,3.4,1.0,141525.0,8123
29.0,신도림,78.7,498.0,3.2,0.7,125209.0,8123
30.0,문래,87.7,471.0,2.2,0.9,40128.0,8123
31.0,도림천,84.5,456.0,2.7,0.9,2150.0,8123
32.0,양천구청,75.7,405.0,5.4,0.8,13455.0,8123
33.0,신정네거리,80.0,489.0,5.3,1.0,19014.0,8123
34.0,영등포구청,87.7,484.0,3.8,0.9,51609.0,8123
35.0,합정,79.0,560.0,6.6,0.9,102172.0,8123
36.0,홍대입구,86.3,839.0,13.7,1.1,229901.0,8123
37.0,신촌,84.9,522.0,7.4,1.1,106476.0,8123
38.0,이대,83.0,466.0,6.7,1.1,42060.0,8123
39.0,아현,84.3,492.0,6.7,1.3,20382.0,8123
40.0,충정로,86.0,461.0,4.8,1.0,30482.0,8123
41.0,신설동,95.7,396.0,1.7,1.0,45600.0,8123
42.0,용두,87.1,839.0,0.0,1.1,5118.0,8123
43.0,구파발,90.8,452.0,7.3,0.6,39622.0,8123
44.0,연신내,87.9,546.0,11.8,0.6,85974.0,8123
45.0,불광,77.6,523.0,6.8,0.6,51856.0,8123
46.0,녹번,89.4,442.0,7.5,0.6,24565.0,8123
47.0,홍제,92.9,482.0,10.7,0.6,37402.0,8123
48.0,무악재,91.1,423.0,11.0,0.5,7753.0,8123
49.0,독립문,89.6,461.0,13.7,0.7,15041.0,8123
50.0,경복궁,87.6,498.0,15.0,0.6,48317.0,8123
51.0,안국,79.6,574.0,11.8,0.6,45718.0,8123
52.0,오금,80.6,508.0,6.7,0.6,18194.0,8123
53.0,경찰병원,75.0,458.0,8.9,0.6,15134.0,8123
54.0,가락시장,76.9,444.0,6.3,0.4,36748.0,8123
55.0,수서,83.6,626.0,3.3,0.6,61808.0,8123
56.0,일원,90.4,412.0,6.9,0.5,18858.0,8123
57.0,대청,77.7,396.0,10.9,0.4,18636.0,8123
58.0,학여울,82.2,396.0,8.9,0.6,3228.0,8123
59.0,대치,81.0,427.0,7.3,0.4,24914.0,8123
60.0,도곡,108.0,471.0,7.6,0.4,23077.0,8123
61.0,매봉,86.4,422.0,6.7,0.5,20523.0,8123
62.0,양재,78.9,485.0,4.5,0.9,74210.0,8123
63.0,남부터미널,63.1,465.0,4.7,0.6,66890.0,8123
64.0,교대,76.8,705.0,10.7,0.9,89374.0,8123
65.0,고속터미널,89.9,724.0,10.4,0.9,201646.0,8123
66.0,잠원,65.9,398.0,5.5,0.6,12181.0,8123
67.0,신사,80.5,525.0,7.2,0.8,73016.0,8123
68.0,압구정,69.5,534.0,7.0,0.8,71915.0,8123
69.0,금호,72.6,436.0,8.6,0.6,16913.0,8123
70.0,약수,78.2,506.0,9.8,0.8,35596.0,8123
71.0,동대입구,78.2,436.0,11.8,0.8,25211.0,8123
72.0,충무로,86.3,459.0,10.5,1.1,66054.0,8123
73.0,쌍문,85.1,522.0,6.1,0.8,63168.0,8123
74.0,수유,77.7,481.0,5.2,0.6,81545.0,8123
75.0,미아,83.4,417.0,7.4,0.6,34117.0,8123
76.0,미아사거리,83.1,563.0,25.9,0.7,61976.0,8123
77.0,길음,81.0,467.0,28.1,0.6,42419.0,8123
78.0,성신여대입구,71.8,516.0,5.5,0.6,57186.0,8123
79.0,한성대입구,76.7,460.0,13.1,0.6,28963.0,8123
80.0,혜화,88.8,586.0,6.8,0.6,88496.0,8123
81.0,동대문역사문화공원,94.7,523.0,21.9,0.5,94342.0,8123
82.0,동대문,93.2,429.0,16.0,0.6,77584.0,8123
83.0,충무로,86.6,533.0,22.8,0.6,66054.0,8123
84.0,명동,94.8,658.0,15.2,1.0,100234.0,8123
