,Unnamed: 0,역명,설치대수,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수,연도,오염_등급,오염_점수,공기청정기_군집,공기청정기_효용_상태
85,8,시청,22,102.0,535.0,33.7,0.5,58210.0,7123,3,70.15349060775605,3,과잉
86,8,시청,22,88.3,606.0,19.0,0.4,58210.0,7123,2,61.93349060775605,3,과잉
87,8,시청,22,96.3,691.0,5.5,0.9,113670.0,8123,2,75.26399377054852,3,과잉
88,8,시청,22,85.9,697.0,9.7,1.0,113670.0,8123,2,69.02399377054854,3,과잉
89,8,시청,22,100.7,610.0,17.8,1.0,119451.0,9123,3,78.79319028667013,3,과잉
90,8,시청,22,109.3,558.0,10.0,1.0,119451.0,9123,3,83.95319028667012,3,과잉
91,8,시청,22,45.1,456.0,9.4,2.1,61239.0,123,0,36.47939205168137,3,과잉
92,8,시청,22,83.6,514.0,6.2,0.4,61239.0,123,1,59.579392051681374,3,과잉
93,8,시청,22,54.6,490.0,5.1,0.6,75763.0,1123,0,44.4133810155544,3,과잉
94,8,시청,22,73.1,635.0,5.2,0.2,75763.0,1123,1,55.513381015554394,3,과잉
95,8,시청,22,83.5,545.0,12.0,0.7,60692.0,2123,1,59.43525600353772,3,과잉
96,8,시청,22,63.2,522.0,7.2,0.5,60692.0,2123,0,47.25525600353772,3,과잉
97,8,시청,22,0.0,"12    495.29351
dtype: float64","12    4.605899
dtype: float64","12    0.719479
dtype: float64",0.0,2023,0,0.0,3,과잉
98,9,을지로입구,16,89.1,549.0,34.0,0.5,77013.0,7123,2,65.30564803599238,0,심각한 부족
99,9,을지로입구,16,84.1,617.0,9.2,1.1,121523.0,8123,1,69.15189209974812,0,심각한 부족
100,9,을지로입구,16,81.2,559.0,9.9,1.0,125321.0,9123,1,67.9960762146469,0,심각한 부족
101,9,을지로입구,16,41.2,535.0,6.5,0.6,57238.0,123,0,33.52398377266348,0,심각한 부족
102,9,을지로입구,16,59.6,472.0,5.3,0.3,74109.0,1123,0,47.15897329411086,0,심각한 부족
103,9,을지로입구,16,54.4,474.0,6.9,0.5,68156.0,2123,0,43.123320835977005,0,심각한 부족
104,9,을지로입구,16,0.0,"6    451.689598
dtype: float64","6    7.890009
dtype: float64","6    0.661501
dtype: float64",0.0,2023,0,0.0,0,심각한 부족
105,10,동대문역사문화공원,14,77.2,622.0,13.9,0.7,74147.0,7123,1,57.724818211532174,2,적합
106,10,동대문역사문화공원,14,95.0,722.0,47.3,0.6,74147.0,7123,2,68.40481821153217,2,적합
107,10,동대문역사문화공원,14,87.4,665.0,35.5,0.2,74147.0,7123,2,63.84481821153218,2,적합
108,10,동대문역사문화공원,14,77.6,525.0,8.7,1.4,94342.0,8123,1,61.07108419372825,2,적합
109,10,동대문역사문화공원,14,94.7,523.0,21.9,0.5,94342.0,8123,2,71.33108419372824,2,적합
